 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
